Fecha	Título	Link	Perma.cc
37340.0	"Revisión jurídica del pasado"	"http://archivo.eluniversal.com.mx/editoriales/14251.html"	"https://perma.cc/ZJ92-NG7F"
37377.0	"Difieren sobre controversia presentada por AMLO"	"http://archivo.eluniversal.com.mx/nacion/83911.html"	"https://perma.cc/MP7L-MNDC"
37385.0	"Establecen en Acapulco sede de fiscalía para desaparecidos"	"http://archivo.eluniversal.com.mx/nacion/84172.html"	"https://perma.cc/33S2-R6XZ"
37391.0	"Creel ofreció citar a LEA por guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/84410.html"	"https://perma.cc/WXS8-NJCN"
37392.0	"Rincón Gallardo rinde hoy testimonio sobre el movimiento del 68"	"http://archivo.eluniversal.com.mx/nacion/84422.html"	"https://perma.cc/3CLB-PTSK"
37392.0	"Llevan ante CIDH crimen en la guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/84421.html"	"https://perma.cc/6HE6-LHHY"
37392.0	"Hipócrita y mentiroso, el régimen de VFQ, califica Rosario Ibarra"	"http://archivo.eluniversal.com.mx/nacion/84442.html"	"https://perma.cc/4JVT-GX4K"
37393.0	"Denuncia Rincón ultraje a la izquierda durante guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/84470.html"	"https://perma.cc/JZ3T-PPDH"
37399.0	"Documentan crimen político ante Fiscalía"	"http://archivo.eluniversal.com.mx/nacion/84961.html"	"https://perma.cc/DKG4-WYXE"
37401.0	"Nunca más otra guerra sucia"	"http://archivo.eluniversal.com.mx/editoriales/14938.html"	"https://perma.cc/MLL3-3HFJ"
37412.0	"Matanza de 1971, en peligro de no ser investigada, alertan"	"http://archivo.eluniversal.com.mx/nacion/85439.html"	"https://perma.cc/97G8-XW5Y"
37414.0	"Concentrará Fiscalía averiguaciones del 68"	"http://archivo.eluniversal.com.mx/nacion/85633.html"	"https://perma.cc/X5T8-4MWK"
37415.0	"Han desaparecido pruebas sobre 68"	"http://archivo.eluniversal.com.mx/primera/12585.html"	"https://perma.cc/2SNX-LGEZ"
37415.0	"Destruidas, pruebas del 2 de octubre"	"http://archivo.eluniversal.com.mx/nacion/85673.html"	"https://perma.cc/AF37-YX4Z"
37415.0	"Exige el IPN investigar represión a estudiantes"	"http://archivo.eluniversal.com.mx/nacion/85674.html"	"https://perma.cc/R9U9-MAQV"
37416.0	"Oficina de Fiscalía para guerra sucia en Sinaloa"	"http://archivo.eluniversal.com.mx/nacion/85715.html"	"https://perma.cc/P7L8-YA5R"
37417.0	"Presenta hoy testigo denuncia de hechos"	"http://archivo.eluniversal.com.mx/nacion/85723.html"	"https://perma.cc/4ZFK-JCDR"
37418.0	"Declararán todos los implicados, afirma fiscal"	"http://archivo.eluniversal.com.mx/nacion/85757.html"	"https://perma.cc/2C5V-MFWB"
37418.0	"Presentan dos denuncias contra LEA"	"http://archivo.eluniversal.com.mx/nacion/85756.html"	"https://perma.cc/CW3B-WYTH"
37423.0	"Ampliarán denuncia contra Echeverría"	"http://archivo.eluniversal.com.mx/nacion/85968.html"	"https://perma.cc/6775-FY9S"
37426.0	"Convierten celdas en habitaciones de la memoria"	"http://archivo.eluniversal.com.mx/nacion/86095.html"	"https://perma.cc/W6L4-NT84"
37429.0	"Exigen arraigar a Echeverría"	"http://archivo.eluniversal.com.mx/nacion/86193.html"	"https://perma.cc/FG5L-SBD4"
37430.0	"Rompecabezas por armar"	"http://archivo.eluniversal.com.mx/nacion/86239.html"	"https://perma.cc/FL8D-RFKP"
37439.0	"Histórico: hoy esperan comparezca Echeverría"	"http://archivo.eluniversal.com.mx/primera/12702.html"	"https://perma.cc/GNE5-SJ9M"
37440.0	"Emplazan a Echeverría a responder en 30 días"	"http://archivo.eluniversal.com.mx/nacion/86593.html"	"https://perma.cc/98Y4-KL3E"
37440.0	"Es insuficiente que sólo rinda declaración: investigadores"	"http://archivo.eluniversal.com.mx/nacion/86596.html"	"https://perma.cc/QB7U-UQAQ"
37440.0	"Reitera PRD su denuncia por asesinato de militantes "	"http://archivo.eluniversal.com.mx/nacion/86597.html"	"https://perma.cc/Y8LU-FUU2"
37440.0	"Exalta Naciones Unidas comparecencia de LEA"	"http://archivo.eluniversal.com.mx/nacion/86595.html"	"https://perma.cc/8NC2-7CNB"
37441.0	"Matanza del 68, tragedia nacional"	"http://archivo.eluniversal.com.mx/nacion/86698.html"	"https://perma.cc/KCS2-8ALR"
37442.0	"Exigen arraigo para ex presidente"	"http://archivo.eluniversal.com.mx/nacion/86727.html"	"https://perma.cc/K7EK-KTJW"
37443.0	"Un valioso testimonio incriminatorio contra LEA"	"http://archivo.eluniversal.com.mx/editoriales/15386.html"	"https://perma.cc/6TJ8-HWUS"
37446.0	"Comparece Echeverría ante fiscal, confirman "	"http://archivo.eluniversal.com.mx/nacion/86811.html"	"https://perma.cc/FSM3-KYTM"
