Filename	Title	Source
"Trachtenberg_FR_19511016"	"Télégramme de Francois-Poncet à Paris, Entretien de Lemmer avec Dertinger, 16 Octobre 1951"	"n/a"
"Trachtenberg_FR_19511114"	"Note pour le Président: Etat de Crise, 20 Novembre 1951"	"n/a"
"Trachtenberg_FR_19511120"	"Note pour le Président: Contrôles de  Sécurité, 20 Novembre 1951"	"n/a"
"Trachtenberg_FR_19511228"	"Lettre de François-Poncet à Schuman, 28 Décembre 1951"	"n/a"
"Trachtenberg_FR_19520213"	"Note: Réactions possibles de l'URSS au réarmement de l'Allemagne, 13 Février 1952"	"n/a"
"Trachtenberg_FR_19520314"	"Télégramme de Noblet, Berlin, à Paris, 14 Mars 1952"	"n/a"
"Trachtenberg_FR_19520318_1"	"Télégramme de Parodi, Paris, à Noblet, Berlin, 18 Mars 1952"	"n/a"
"Trachtenberg_FR_19520318_2"	"Télégramme de Massigli à Diplomatie Paris, 18 Mars 1952"	"n/a"
"Trachtenberg_FR_19520321"	"Télégramme de Noblet, Berlin, à Parodi, Paris, 21 Mars 1952"	"n/a"
"Trachtenberg_FR_19520520"	"Communication de Monsieur le Ministre des Affaires Etrangères  sur les projects d'arrangements contractuels avec la République Fédérale d'Allemagne. 20 Mai 1952"	"n/a"
"Trachtenberg_FR_19520521"	"Télégramme de Francois-Poncet, Bonn, à Diplomatie Paris, 21 Mai 1952"	"n/a"
"Trachtenberg_FR_19520523"	"Télégramme de Diplomatie Paris à Haussaire Bonn, 23 Mai 1952"	"n/a"
"Trachtenberg_FR_19520525"	"Fiche: pour Monsieur le Ministre des Affaires Etrangères, au sujet des Contrôles sur l'Energie Atomique, 25 Mai 1952"	"n/a"
"Trachtenberg_FR_19520628"	"Télégramme de Daridan, Washington, à Paris, Entretien avec M. Vladykin, 28 Juin 1952"	"n/a"
"Trachtenberg_FR_19530610"	"Document de travail: Préparation de la Conférence des Bermudes, 10 Juin 1953"	"n/a"
"Trachtenberg_FR_19530707"	"Note: Entretiens de Washington, Questions, 7 Juillet 1953"	"n/a"
"Trachtenberg_FR_19540811"	"Télégramme de Ambafrance Londres à Diplomatie Paris, 11 Août 1954"	"n/a"
"Trachtenberg_FR_19540910"	"Papers of General Blanc, Comité de Défense Nationale du 10 Septembre 1954"	"War Ministry Archives, Chateau de Vincennes"
"Trachtenberg_FR_19550506"	"Compte Rendu de Conversation du 6 Mai 1955"	"n/a"
"Trachtenberg_FR_19550508"	"Lettre de Etienne de Crouy-Chanel à l'Ambassadeur Francais, Londres, 8 Mai 1955"	"n/a"
"Trachtenberg_FR_19560202"	"Lettre de Ambafrance Washington à Massigli, 2 Février 1956"	"n/a"
"Trachtenberg_FR_19590204"	"Lettre de Ambafrance Washington au Ministre de Murville, 2 Février 1956"	"n/a"
"Trachtenberg_FR_19591230"	"Observations du Général sur le document du 30 Décembre ci-joint concernant l'OTAN"	"n/a"
"Trachtenberg_FR_19591231"	"Lettre de Ambafrance Washington au Ministre de Murville, 13 Décembre 1959"	"n/a"
