EDI_NENA,Inventory of text source data files,,,,,,
,Revised 08 October 2017,,,,,,
,,,,,,,
,,,,,,,
EDI identifier,Organization or Program,Date of collection,Web browser,Location of source,"Permanent links (added by QDR as of May 30, 2018)",File name,Notes
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/2015_strategic_direction_final_as_adopted.pdf,https://perma.cc/UK94-L45Q,EDI_NENA.ON002.text.CUPEStrategicDirection.2015,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/constitution2015_lr.pdf,https://perma.cc/P8KB-CRUF,EDI_NENA.ON002.text.CUPEConstitution.2015,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/nsc_transportation_2016_eng_final.pdf,https://perma.cc/J9Q9-9KBN,EDI_NENA.ON002.text.CUPETransSector.2016,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/nsc_energy_2016_eng_final.pdf,https://perma.cc/SE6Q-MYE9,EDI_NENA.ON002.text.CUPEEnergySector.2016,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/field_publication_past_issues/is_report_2016.pdf,https://perma.cc/QNG3-2NDG,EDI_NENA.ON002.text.CUPEIntlSolidarity.2016,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/field_publication_past_issues/is_report_2017_eng_final_lr.pdf,https://perma.cc/DN7V-5HNL,EDI_NENA.ON002.text.CUPEIntlSolidarity.2017,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/field_publication_past_issues/global_justice_winter_2016_low.pdf,https://perma.cc/2MJD-HWAD,EDI_NENA.ON002.text.CUPEGlobalJustice.Winter2016,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/field_publication_past_issues/global_justice_fall_2016_e.pdf,https://perma.cc/5JCA-AEHL,EDI_NENA.ON002.text.CUPEGlobalJustice.Fall2016,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/sites/cupe/files/field_publication_past_issues/global_justice_winter_2017_e.pdf,https://perma.cc/RV5R-NMNY,EDI_NENA.ON002.text.CUPEGlobalJustice.Winter2017,
ON002,Canadian Union of Public Employees,5-Oct-17,Google Chrome,https://cupe.ca/premiers-legal-troubles-continue-over-deal-sell-hydro-one-shares,https://perma.cc/7XE9-RENL,EDI_NENA.ON002.text.CUPEHydroOne.2017.nvcx,
