ResourceID	Title	originalURL	Perma.ccURL	Elementarystudentssimulation(resourcepositionoutof20)	Middlestudentssimulation(resourcepositionoutof30)	Highschoolstudentssimulation(resourcepositionoutof40)	Highereducationsimulation(resourcepositionoutof40)	Container	Genre	Resourceisinall4simulations	ResourceisintheContainerTask	Openresource?
"WE15"	"Everglades Pythons Exhibit New Behaviors"	"https://www.audubon.org/news/everglades-pythons-exhibit-new-behaviors\",\"https://www.audubon.org/news/everglades-pythons-exhibit-new-behaviors"	"https://perma.cc/5XKY-9MPZ"	19.0	29.0	32.0		"Website"	"Article"	""	""	"yes"
"JL11"	"Congressional Record Senate Section - Burmese Pythons"	"https://www.congress.gov/congressional-record/2009/07/06/senate-section/article/S7118-1"	"https://perma.cc/S4NS-9J69"			33.0		"Journal"	"Article"	""	""	"yes"
"WE09"	"Burmese python. Python Molurus ssp. Bivittatus Kuhl, 1820."	"https://www.eddmaps.org/florida/distribution/viewmap.cfm?sub=20461 "	"https://perma.cc/6VYG-LHDC"		21.0	34.0	12.0	"Website"	"Map"	""	"yes (6-8)"	"yes"
"WE13"	"The Economic Cost of Large Constrictor Snakes"	"https://www.fws.gov/verobeach/PythonPDF/EconImpact_LargeConstrictorSnakes.pdf"	""			35.0		"Website"	"Fact sheet"	""	""	"yes"
"MA05"	"Pythons hunt Florida's mammals to brink of extinction"	"https://www.newscientist.com/article/mg21328504-500-pythons-hunt-florida-mammals-to-brink-of-extinction/"	"https://perma.cc/6DZ6-634K"			36.0		"Magazine"	"Article"	""	"yes (9-12)"	""
"NE05"	"150,000 Burmese Pythons in the Everglades. Nothing to Be Afraid Of."	"https://www.washingtonpost.com/news/morning-mix/wp/2014/07/16/150000-burmese-pythons-in-the-everglades-nothing-to-be-afraid-of/"	"https://perma.cc/653Y-RMT3"	20.0				"News"	"Article"	""	"yes (4-5)"	""
"NE04"	"BURMESE PYTHONS KILLING WILDLIFE IN EVERGLADES"	"https://www.youtube.com/watch?v=8X99JwZ4iO0 "	""				23.0	"News"	"video"	""	""	"yes"
"WE12"	"Florida Everglades Overrun With 150,000 Invasive Burmese Pythons"	"https://youtu.be/mRQez-T7v9k"	""			38.0		"Website"	"Video"	""	""	"yes"
"WE16"	"Giant Snake of the Everglades - The Invasive Burmese Python"	"https://youtu.be/P_LIuzEoJ_Y"	"https://perma.cc/XV58-2HWJ"	5.0	30.0	40.0		"Website"	"Video"	""	""	"yes"
"*NOTE: The original URLs without a Perma.cc URL no longer exist and could not be archived."	""	""	""					""	""	""	""	""
