Filename	Description	OriginalURL	Perma.cc
"Trachtenberg_PM_CM_After-9-11_SecondPaper_Model"	"Model submission for second paper (North Korean nuclear question) for Political Science 120b: The World after 9/11"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/120b/Second%20Paper(draft)(rev).doc"	"n/a"
"Trachtenberg_PM_CM_After-9-11_Syllabus"	"Syllabus for Political Science 120b: The World after 9/11 (2009)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/120b/syllabus(09).doc"	"n/a"
"Trachtenberg_PM_CM_After-9-11_ThirdPaper_Guide"	"Guide for final paper (example) for Political Science 120b: The World after 9/11"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/120b/third%20paper%20example.pdf"	"n/a"
"Trachtenberg_PM_CM_After-9-11_Waltz"	"Video file, Kenneth Waltz, “Alone in the World” (Berkeley, Feb. 2003)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/120b/mearsheimer02.rm"	"n/a"
"Trachtenberg_PM_CM_IR_PaperTopics"	"List of paper topics for Political Science 220b: Core Seminar in International Relations  (2015, 2nd quarter of core sequence for first year graduate students)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/220b/topics.doc"	"n/a"
"Trachtenberg_PM_CM_IR_Syllabus"	"Syllabus for Political Science 220b: Core Seminar in International Relations (2015, 2nd quarter of core sequence for first year graduate students)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/220b/syllabus(W15).doc"	"n/a"
"Trachtenberg_PM_CM_JulyCrisis_Assignment-1"	"First Assignment,  Seminar on the July Crisis"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/JulyCrisis/JULY(1).doc"	"n/a"
"Trachtenberg_PM_CM_JulyCrisis_Assignment-2"	"Second Assignment,  Seminar on the July Crisis"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/JulyCrisis/JULY(2).doc"	"n/a"
"Trachtenberg_PM_CM_JulyCrisis_Assignment-3"	"Third Assignment,  Seminar on the July Crisis"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/JulyCrisis/JULY(3).doc"	"n/a"
"Trachtenberg_PM_CM_JulyCrisis_Assignment-4"	"Fourth Assignment,  Seminar on the July Crisis"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/JulyCrisis/JULY(4).doc"	"n/a"
"Trachtenberg_PM_CM_JulyCrisis_Assignment-5"	"Fifth Assignment,  Seminar on the July Crisis"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/JulyCrisis/JULY(5).doc"	"n/a"
"Trachtenberg_PM_CM_JulyCrisis_Assignment-6"	"Sixth Assignment,  Seminar on the July Crisis"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/JulyCrisis/JULY(6).doc"	"n/a"
"Trachtenberg_PM_CM_JulyCrisis_Readings"	"List of readings, Seminar on the July Crisis (course taught at the University of Pennsylvania in the late 1990s)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/JulyCrisis/july(list).doc"	"n/a"
"Trachtenberg_PM_DeclassificationAnalysis_0_Method"	"Discussion and guide to declassification analysis, including a list of examples "	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/documents/doclist.html"	"https://perma.cc/WXX6-3RA5"
"Trachtenberg_PM_DeclassificationAnalysis_AddFileList"	"List of additional files for declassification analysis located in \"United States Cold War Documents"	"-"	"-"
"Trachtenberg_PM_DeclassificationAnalysis_Doc-1"	"Extract from the Forrestal Diary, entry for July 28, 1945"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/documents/forrestal.html"	"https://perma.cc/6VSS-QL9E"
"Trachtenberg_PM_DeclassificationAnalysis_Doc-2"	"Two Extracts from the record of a meeting between Secretary of State John Foster Dulles and German Foreign Minister Heinrich von Brentano, November 21, 1957"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/documents/brentano.html"	"https://perma.cc/K8VP-YE5M"
"Trachtenberg_PM_DeclassificationAnalysis_Doc-3"	"Extracts from the Bowie Report, \"The North Atlantic Nations: Tasks for the 1960's,\" of August 1960"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/documents/bowie.html"	"https://perma.cc/34EX-MMPL"
"Trachtenberg_PM_DeclassificationAnalysis_Doc-4"	"Extract from Eisenhower-Spaak meeting, October 4, 1960"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/documents/spaak.html"	"https://perma.cc/MA4B-63UM"
"Trachtenberg_PM_DeclassificationAnalysis_Doc-5"	"Extract from the record of the Kennedy-Khrushchev meeting at Vienna, June 4, 1961"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/documents/vienna.html"	"https://perma.cc/2G2T-EUXC"
"Trachtenberg_PM_DeclassificationAnalysis_Doc-6"	"Extract from the notes of a meeting between Kennedy, Macmillan and other officials, at Nassau, December 19, 1962, 9:50 a.m."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/documents/nassau.html"	"https://perma.cc/P7J4-C57Y"
"Trachtenberg_PM_PracticalGuide_0-Overview"	"Overview of \"A practial guide to doing Cold War history"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/guide/guidehome.html"	"https://perma.cc/5V5C-5V8J"
"Trachtenberg_PM_PracticalGuide_1-Project"	"Practical Guide Part I: Defining Your Project"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/guide/PART%20ONE.HTML"	"https://perma.cc/A6P8-9JKD"
"Trachtenberg_PM_PracticalGuide_2-Literature-04"	"Practical Guide Part II: The Literature Search (2004 version)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/guide/PART%20TWO.HTML"	"https://perma.cc/UR3C-3GNG"
"Trachtenberg_PM_PracticalGuide_2-Literature-06"	"Practical Guide Part II: The Literature Search (2006 version, updated in 2019); Appendix I to The Craft of International History"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/methbk/AppendixI.html"	"https://perma.cc/6G5P-4XWQ "
"Trachtenberg_PM_PracticalGuide_3-PrimarySources-04"	"Practical Guide Part III: Primary Source Research (2004 version, updated in 2007)"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/guide/PART%20THREE.HTML"	"https://perma.cc/5WVM-UNDT "
"Trachtenberg_PM_PracticalGuide_3-PrimarySources-06"	"Practical Guide Part III: Primary Source Research (2006 version, updated in 2019); Appendix II to The Craft of International History"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/methbk/AppendixII.html"	"https://perma.cc/4LK6-7RUE"
"Trachtenberg_PM_PracticalGuide_4-Writing"	"Practical Guide Part IV: From Gathering Documents to Beginning to Write"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/guide/PART%20FOUR.HTML"	"https://perma.cc/M4P3-KTH7 "
