Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
"promfatigue_2"	"promis_fatigue"	""	"radio"	"I have trouble starting things because I am tired"	"1, not at all | 2, a little bit | 3, somewhat | 4, quite a bit | 5, very much"	""	""			""	""	""	""		"promis_fatigue"		""
"promfatigue_3"	"promis_fatigue"	"In the past 7 days..."	"radio"	"How run-down did you feel on average?"	"1, not at all | 2, a little bit | 3, somewhat | 4, quite a bit | 5, very much"	""	""			""	""	""	""		"fatigue_2"		""
"promfatigue_4"	"promis_fatigue"	""	"radio"	"How fatigued were you on average?"	"1, not at all | 2, a little bit | 3, somewhat | 4, quite a bit | 5, very much"	""	""			""	""	""	""		"fatigue_2"		""
"promis_srpper11_caps"	"promis_sf_v20_ability_to_participate_social_4a"	""	"radio"	"I have trouble doing all of my regular leisure activities with others"	"5, Never | 4, Rarely | 3, Sometimes | 2, Usually | 1, Always"	""	""			""	""	""	""		""		""
"promis_srpper18_caps"	"promis_sf_v20_ability_to_participate_social_4a"	""	"radio"	"I have trouble doing all of the family activities that I want to do"	"5, Never | 4, Rarely | 3, Sometimes | 2, Usually | 1, Always"	""	""			""	""	""	""		""		""
"promis_srpper23_caps"	"promis_sf_v20_ability_to_participate_social_4a"	""	"radio"	"I have trouble doing all of my usual work (include work at home)"	"5, Never | 4, Rarely | 3, Sometimes | 2, Usually | 1, Always"	""	""			""	""	""	""		""		""
"promis_srpper46_caps"	"promis_sf_v20_ability_to_participate_social_4a"	""	"radio"	"I have trouble doing all of the activities with friends that I want to do"	"5, Never | 4, Rarely | 3, Sometimes | 2, Usually | 1, Always"	""	""			""	""	""	""		""		""
"promis_painin9_e5aff9"	"promis_sf_v10_pain_interference_4a_5073"	""	"radio"	"In the past 7 days\nHow much did pain interfere with your day to day activities?"	"1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"	""	""			""	""	""	""		""		""
"promis_painin22_bfdc3e"	"promis_sf_v10_pain_interference_4a_5073"	""	"radio"	"In the past 7 days\nhow much did pain interfere with work around the home?"	"1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"	""	""			""	""	""	""		""		""
"promis_painin31_32fc82"	"promis_sf_v10_pain_interference_4a_5073"	""	"radio"	"In the past 7 days\nHow much did pain interfere with your ability to participate in social activities?"	"1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much"	""	""			""	""	""	""		""		""
