Filename(s)	Permanent link	Original URL	Author	Title	Year	Publication	Date	Date scraped
"MyrickWeinstein_fpp_Iran_Kamalabadi"	"https://perma.cc/LH7F-VP9Q"	"https://web.archive.org/web/20200601134325/https://www.uscirf.gov/fariba-kamalabadi-the-bahai-seven-released"	""	"Fariba Kamalabadi - The Baha'i Seven (RELEASED)"		"United States Commission on International Religious Freedom"	""	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Sabet2"	"https://perma.cc/WK3B-JEB9"	"https://web.archive.org/web/20200622120611/https://www.uscirf.gov/mahvash-sabet-the-bahai-seven-released"	""	"Mahvash Sabet - The Baha'i Seven (RELEASED)"		"United States Commission on International Religious Freedom"	""	"9/8/2021"
"MyrickWeinstein_fpp_Eritrea_Fissehatsion"	"https://perma.cc/XA5Z-CJXD"	"https://web.archive.org/web/20200927121321/https://www.amnesty.org/en/get-involved/take-action/demand-the-release-of-prisoner-of-conscience-aster-fissehatsion/"	""	"Demand the release of prisoner of conscience Aster Fissehatsion | Amnesty International"		"Amnesty International USA"	""	"9/8/2021"
"MyrickWeinstein_fpp_Ethiopia_Mesfin_Alemayehu_Wondifraw"	"https://perma.cc/EHX4-5BCK"	"https://www.africanews.com/2016/12/24/ethiopia-s-mass-release-of-detainees-excites-top-us-officials-call-for-more/"	"Abdur Rahman Alfa Shaban"	"Ethiopia's mass release of 'detainees' excites top US officials, call for more"	2016	"Africanews"	"12/24/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Syria_Tuffaha"	"https://perma.cc/BAN5-CLKM"	"https://www.alkarama.org/en/articles/syria-arrest-and-disappearance-tuffaha-siblings"	""	"Syria: Arrest and Disappearance of the Tuffaha Siblings"	2013	"Alkarama"	"11/15/2013"	"9/9/2021"
"MyrickWeinstein_fpp_Egypt_Al-Anany; MyrickWeinstein_fpp_Egypt_Moustafa"	"https://perma.cc/H332-KQW2"	"https://www.amnesty.org.uk/egypt-mansoura-women"	""	"Egypt: The Mansoura women"	2020	"Amnesty International UK"	"5/18/2020"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Pour-Rostam"	"https://perma.cc/T72M-NKU3"	"https://www.amnesty.org.uk/press-releases/iran-arbitrary-arrests-torture-and-executions-continue"	""	"Iran: Arbitrary arrests, torture and executions continue"	2011	"Amnesty International UK"	"5/23/2011"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Khudayrawi �"	"https://perma.cc/G843-LV37"	"https://www.amnesty.org.uk/press-releases/iran-four-iranian-arabs-executed-after-unfair-trials-%E2%80%9Csickening-escalation%E2%80%9D"	""	"Iran: Four Iranian Arabs executed after unfair trials in �sickening escalation� of executions"	2007	"Amnesty International UK"	"1/25/2007"	"9/8/2021"
"MyrickWeinstein_fpp_Syria_Ma'touq"	"https://perma.cc/RTZ4-R4AZ"	"https://www.amnesty.org.uk/press-releases/syria-new-campaign-missing-lawyer-mark-international-disappearances-day"	""	"Syria: new campaign on missing lawyer to mark international 'disappearances' day"	2014	"Amnesty International UK"	"8/29/2014"	"9/9/2021"
"MyrickWeinstein_fpp_Myanmar_Aung"	"https://perma.cc/S9XB-VKD8"	"https://www.amnesty.org/en/latest/campaigns/2016/04/myanmar-phyoe-phyoe-aung-student-leader-free/"	""	"Phyoe Phyoe Aung released"	2016	"Amnesty International"	"4/11/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Myanmar_Nway"	"https://perma.cc/9ZTM-QDCA"	"https://www.amnesty.org/en/latest/news/2011/10/political-prisoner-release-should-prompt-continued-pressure-myanmar/"	""	"Political prisoner release should prompt continued pressure on Myanmar"	2011	"Amnesty International"	"10/14/2011"	"9/8/2021"
"MyrickWeinstein_fpp_Ethiopia_Kifle"	"https://perma.cc/GH4Z-BAY2"	"https://www.amnesty.org/en/latest/news/2012/01/ethiopia-terror-convictions-affront-free-speech/"	""	"Ethiopia terror convictions an �affront� to free speech"	2012	"Amnesty International"	"1/19/2012"	"9/8/2021"
"MyrickWeinstein_fpp_Myanmar_Tin"	"https://perma.cc/LK2X-VM3Y"	"https://www.amnesty.org/en/wp-content/uploads/2021/05/ASA1624582015ENGLISH.pdf"	""	"Myanmar: Further information: Activist remains behind bars for protesting"	2015	""	"9/15/2015"	"9/8/2021"
