file	duration	year	candidate	round	date1	time1	date2	time2	date3	time3	date4	time4	date5	time5	date6	time6	source	notes	content
"Chile_1988_Si_05"	894	1988	"Si"		"9/9/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"Aylwin asked for dialogue; historical footage of Aylwin: coup is Allende gov's fault; Aylwin allied with those he once said destroyed the country; let's march toward the pais ganador; Pinochet has helped Isla de Pascua development; why economic changes, not social?; this government has beaten poverty; in the future fighting poverty depends on all of us; this gov returned us to old traditions after ideological governments of Frei, Allende; don't change the captain of the boat; gains in infant mortality; AN supports Si; Aylwin asked for a meeting with Pinochet; let's listen to him; historical footage of Aylwin: coup is Allende gov's fault; UP was forming parallel army to gain power by force, which justifies coup; AN leader: Aylwin allied with those he once said destroyed the country; fake No song; the no speaks of happiness but doesn't represent national values; AN endorsement; AN logo; UDI logo; Jorge Alessandri: UDI qualified; UDI logo; Chadwick: Marxist terrorist killed UDI poblacion leader; we pick up where he left off, supporting the Si; UDI jingle; Si al futuro, Si a Pinochet"
"Chile_1988_Si_06"	886	1988	"Si"		"9/10/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"S� pa�s ganador jingle; Youth's participation in Pinochet's government; Security increase in more neighborhoods; Sports for the youths to prevent to use and abuse of substances; information about healt of kids in Chile; Juan Antonio Kast, a student talking about education; International sports awards; song to Pinochet; Pinochet's commitment to provide respectable retirement benefits; (9:36) Testimony and support for S�; Sur song; S� pa�s ganador jingle; La CUT; La alegr�a ya viene jingle with violent images of riots and strikes"
"Chile_1988_Si_07"	895	1988	"Si"		"9/11/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"everyone supported coup because of chaos; Allende's breaking of agreement with labor leader; Aylwin: armed forces were not power hungry, conducted themselves professionally and apolitically in the coup; the coup was democratic and had support; Chile is a winning country; we want technical development; we want business to thrive; we want fair retirement; Jorge Alessandri: UDI capable; Gonzalo Uriarte: we're a winning country; UDI jingle; Allende was Marxist, but that's of the past; Pinochet did great things in 15 years; we support the Si because it's a better future; No is chaos; we're with the Si because it represents spring; let's march toward the pais ganador"
"Chile_1988_Si_08"	716	1988	"Si"		"9/12/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"la alegr�a ya viene jingle with violent images of protesters; \"\"Los Marxistas ya vienen\"\"; S� pa�s ganador song; Hernan Buchi addresses inflation in Chile; technical workshops; Fabricio Levera's support for S� and present government; Un pa�s ganador jingle; No means going back to darkness; Pinochet promise to generate more jobs in the next 4 years; Chile as leaders in many areas, includding technology, sports, beauty pageants (Un pa�s ganador); Partido del Sur; Lagos vs Aylwin on socialism; la alegr�a ya viene jingle with violent images of protesters     "
"Chile_1988_Si_09"	43	1988	"Si"		"9/13/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"Campaign for Si cancelled in order to be fair with the opposition (response to criticisme of 15 minutes only?)"
"Chile_1988_Si_10"	894	1988	"Si"		"9/14/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"fake No song; Allende government minister a communist; No victory means inflation, chaos, expropriation, etc.; let's march toward the pais ganador; guy in Lima: economic situation much better in Chile than elsewhere; Senora Yolita spoof; fake No song; Pinochet: I'm committed to a democratic future; youth in streets peacefully supporting SI; grape exports; development tercera region; things going great in our region; creating jobs; it's good for the region; Allende government minister a communist; vote for pais ganador; Espina: look optimistically toward the future; we all want responsible econ management; we all want better health; we all want efficient access to justice; Si will solve these problems; issue: education, preparation of tecnicos; Fantuzzi: importance of technical training; RN will support it in the Congress; issue job training; this election is about securing economic development, progress; RN endorsement; fake No song"
"Chile_1988_Si_11"	888	1988	"Si"		"9/15/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"Audience's request of clip Lagos vs Aylwin on socialism; 21 days until elections; images of Cuba as the \"\"face of inflation\"\"; Patricio Vildosola talking about communism in Cuba; Allende and MIR in Cuba; S� con Pinochet is the way to democracy; development of Cocra; Austral highway; Diga S� song; Pinochet talks about his comitment to continue to bring more services; civilians's support to Pinochet and the Si campaign; Pa�s ganador song; Words by Jorge Alessandri to UDI; Development of each region; Parody of No's clip woman who can't afford tea. Scarcity of products to sell"
"Chile_1988_Si_12"	748	1988	"Si"		"9/16/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"No is chaos; let's march toward the pais ganador; Si supporters in the streets; Pinochet: my promise for the future is a generically better country; issue of ag; if the Si wins we'll have better ag; if the No wins it will expropriate, investment will stop; Chile is producing lots of wheat; Chile has made ag progress; Chile has made ag progress; when Allende said there was only enough grain for 3-4 days, that ruined our industry; Jorge Alessandri: continue; Longueira: have to defeat poverty; we don't want the Marxists; Chile will vote Si b/c it wants democracy; fake No song; Allende minister let Castro's arms shipment into the country; there were shortages under Allende; fake No song; dancing spoof--aunque marxista se vista de seda"
"Chile_1988_Si_13"	848	1988	"Si"		"9/17/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"la alegr�a ya viene parody with dancers/violent protestors; Parody of No's clip woman who can't afford tea. Scarcity of products to sell; images of violent manifestations with Blueb Danube tune; Pa�s ganador song; civilians support to Pinochet and the Si campaign; Pinochet as the only option for a better future of Chile; Diga s� song; 19 days until election day; Progress of Chile in comparison to Latin America; images of kids in shcool and Si song; (famous person?? minute 05:03) support for Si; words by Jorge Alessandri to UDI; Pobladores support of Si; S� song; Pa�s ganador song; No means going back to darkness; Chile is the light for last 15 years"
"Chile_1988_Si_14"	893	1988	"Si"		"9/18/1988"	""	""	""	""	""	""	""	""	""	""	""	"Catolica"	""	"hijo nuestro que llegas (independence day); today is independence day; Si is victory over crushing ambition of minority; A no victory is chaos; A no victory is chaos; A no victory is chaos; yes is home and life; mother talking generically about babies and future; Si will take care of your kids; people left poverty on the banks of Mapocho and got own homes; important that such things keep happening; old lady: Pinochet gave us houses; ag guy--he'll look after us; I support Si b/c I'm a winner; the gov has provided us with food; issue: housing; I promise all Chileans will have good homes in the future; let's march toward the pais ganador; Allende food shortages and unfair rationing; Senora Yolita spoof; there were shortages under Allende; leftist leader mentioning MIR; making fun of Florcita Motuda"
