file	duration	year	candidate	round	source	content
"Peru_2006_Humala_04"	257	2006	"Humala"	1	"TV"	"we need to work together; my military background; I'm not a politician; I'm working for a country free of discrimination; I'm committed to democracy; work for health, education; reconciliation for victims of political violence; I'm committed to environment, culture, ethnic plurality; a Latin America free of neoliberalism; tradition of Haya, Mariategui, Basadre; I love my country; I'm a citizen like you working for the people; we're the plurality in the first round; our transformation will represent national interests not minority interests; Programa Ciudadano; we reduce prices of gas and cooking gas; lower salaries of public officials; ag credit; more money for health, educ; respect workers' rights; don't let fear defeat hope"
"Peru_2006_Humala_05"	30	2006	"Humala"	1	"TV"	"Ollanta is change, the pueblo, etc.; we support Ollanta"
"Peru_2006_Humala_06"	31	2006	"Humala"	1	"TV"	"I have a government plan; defining nationalism"
"Peru_2006_Humala_07"	181	2006	"Humala"	1	"TV"	"the nationalist project has leadership, a plan; we propose a change of social and economic model that will promote equality; this project will integrate the country, eliminate barriers; we need to rescue natural resources; we need to strengthen state in economy and strategic sectors; we need a new constitution, refounding the republic; we need transformation; we're with the youth, they're with us; this is a project of everyone"
"Peru_2006_Humala_08"	29	2006	"Humala"	1	"TV"	"Song \"\"Somos Mas\"\""
"Peru_2006_Humala_09"	20	2006	"Humala"	1	"TV"	"Ollanta is change, the pueblo, etc.; we support Ollanta"
"Peru_2006_Humala_10"	29	2006	"Humala"	2	"TV"	"accuses Garcia of avoiding debate"
"Peru_2006_Humala_11"	76	2006	"Humala"	2	"TV"	"list of current problems; we change this b/c united by love for Peru; resources--fish, silver, gold; economic crisis under Alan; time to change"
"Peru_2006_Humala_12"	36	2006	"Humala"	2	"TV"	"inflation under Garcia; future is econ stability; Alan nationalized banks, confiscated savings; future is respecting private property; Alan tripled poverty; future is more jobs for everyone; we're the future"
"Peru_2006_Humala_13"	30	2006	"Humala"	2	"TV"	"cooking gas very expensive; debate: I'll lower gas prices"
"Peru_2006_Humala_14"	31	2006	"Humala"	2	"TV"	"gasoline very expensive; debate: I'll lower gas prices"
"Peru_2006_Humala_15"	28	2006	"Humala"	2	"TV"	"we won first round; now it's about the future"
"Peru_2006_Humala_16"	257	2006	"Humala"	2	"TV"	"we need to work together; my military background; I'm not a politician; I'm working for a country free of discrimination; I'm committed to democracy; work for health, education; reconciliation for victims of political violence; I'm committed to environment, culture, ethnic plurality; a Latin America free of neoliberalism; tradition of Haya, Mariategui, Basadre; I love my country; I'm a citizen like you working for the people; we're the plurality in the first round; our transformation will represent national interests not minority interests; Programa Ciudadano; we reduce prices of gas and cooking gas; lower salaries of public officials; ag credit; more money for health, educ; respect workers' rights; don't let fear defeat hope"
"Peru_2006_Humala_17"	30	2006	"Humala"	2	"TV"	"Nadine: women want a future, we're the future; best gift for a mother is future for children"
"Peru_2006_Humala_18"	30	2006	"Humala"	2	"TV"	"I would vote for someone who�; I'm voting Ollanta"
"Peru_2006_Humala_19"	31	2006	"Humala"	2	"TV"	"resources--water, silver, gold"
"Peru_2006_Humala_20"	31	2006	"Humala"	2	"TV"	"resources--gas, silver, gold"
"Peru_2006_Humala_21"	31	2006	"Humala"	2	"TV"	"resources--fish, silver, gold"
"Peru_2011_Humala_01"	39	2011	"Humala"	1	"YouTube"	"I never saved for retirement; thank God for pensi�n 65; Mark the O for a better future"
"Peru_2011_Humala_02"	59	2011	"Humala"	1	"YouTube"	"I'm committed to bring president, my family supports me; Peruvians support me b/c my clear proposals; I understand the people's needs"
"Peru_2011_Humala_03"	29	2011	"Humala"	1	"YouTube"	"women don't have access to enough childcare; I will create Cuna M�s"
"Peru_2011_Humala_04"	14	2011	"Humala"	1	"YouTube"	"negative effects of drugs; I'll combat it"
"Peru_2011_Humala_05"	59	2011	"Humala"	1	"YouTube"	"Ollanta is greeted by adoring crowds; Problem of inequality; create jobs, raise min wage; Boost PYMES, credit for entrepreneurs"
"Peru_2011_Humala_06"	29	2011	"Humala"	1	"YouTube"	"need opportunities for kids to go to college; long live the hard working kids"
"Peru_2011_Humala_07"	39	2011	"Humala"	1	"YouTube"	"Challenges for pregnant woman; Mark the O for a better future"
"Peru_2011_Humala_08"	29	2011	"Humala"	1	"YouTube"	"problem of seniors who didn't save; pensi�n 65"
"Peru_2011_Humala_09"	171	2011	"Humala"	1	"YouTube"	"Campaign generating excitement, we're gonna win; enthusiasm at camapign events; rising in polls; Ollanta's strength is his proposals; raise min salary, 1 million new jobs; create autonomous environmental authority; DNI for all indigenous; academy of indigenous languages; He's a good person; Ollanta is change; Ollanta has best ideas; He's going to do things for youth; He'll raise min wage to 750; Others are continuismo; He's got the best proposals; He'll investigate corruption; More jobs for the poor; He and his wife are both Peruvian; How to vote for Ollanta"
"Peru_2011_Humala_10"	29	2011	"Humala"	1	"YouTube"	"poor health, long lines in hospitals; I'll create SAMU (mobile health service)"
"Peru_2011_Humala_11"	29	2011	"Humala"	1	"YouTube"	"problem of drugs, second largest cocaine producer; I will make drugs/crime a priority"
"Peru_2011_Humala_12"	59	2011	"Humala"	1	"YouTube"	"Humala most trusted on security, corruption; Problem of security; I will address these problems"
"Peru_2011_Humala_13"	59	2011	"Humala"	1	"YouTube"	"I am Humala running for president; I am motivated by fighting social inequality; analysis of social inequality; we need social equality"
"Peru_2011_Humala_14"	60	2011	"Humala"	1	"YouTube"	"Wikileaks: Garc�a, Toledo govts conspired with US against Humala; Humala criticizes it; Peru in first place"
"Peru_2011_Humala_15"	32	2011	"Humala"	2	"YouTube"	"Your participation strengthens democracy"
"Peru_2011_Humala_16"	24	2011	"Humala"	2	"YouTube"	"various proposals for econ growth; econ growth will benefit everyone esp. the poor"
"Peru_2011_Humala_17"	59	2011	"Humala"	2	"YouTube"	"This election is important, we can't be fooled; A choice between the future and a return to corruption, human rights violations, drug trafficking; Can't return to the past, look to the future"
"Peru_2011_Humala_18"	45	2011	"Humala"	2	"YouTube"	"Time to make a decision, don't be fooled; a past of impunity, corruption, etc., version investment, jobs, future; use your memory, decide with courage"
"Peru_2011_Humala_19"	30	2011	"Humala"	2	"YouTube"	"Mark the O for a better future; We're with the mothers on mothers' day"
"Peru_2011_Humala_20"	30	2011	"Humala"	2	"YouTube"	"importance of education; various specific social policy proposals"
"Peru_2011_Humala_21"	63	2011	"Humala"	2	"YouTube"	"People want equalty but also to know how we'll pay for it; We'll get the resources by cutting out corruption; I have a qualified team of democratically oriented advisors; They are helping with my proposals"
"Peru_2011_Humala_22"	29	2011	"Humala"	2	"YouTube"	"youth need college scholarships; Beca 18 program; Brother can't find a job; university reform; want to study abroad; study abroad scholarships"
"Peru_2011_Humala_23"	75	2011	"Humala"	2	"YouTube"	"This election is important, we can't be fooled; Either we go forward, stability, jobs, etc., or back to corruption, human rights violations; Use your head, decide with memory; We need a country where women are respected; Nadine: his vision for the country includes us; Policy issues that matter to women"
"Peru_2011_Humala_24"	59	2011	"Humala"	2	"YouTube"	"social inclusion policies are important; we'll fund pensi�n 65 without touching AFPs; We'll expand Programa Juntos; We can do more without fear"
"Peru_2011_Humala_25"	30	2011	"Humala"	2	"YouTube"	"I want health insurance; I want to be secure in my future; I want equal opportunity; education for my child; We want a fairer Peru; Peru para todos"
"Peru_2011_Humala_26"	25	2011	"Humala"	2	"YouTube"	"healthcare is poor; specific health proposals"
"Peru_2011_Humala_27"	60	2011	"Humala"	2	"YouTube"	"Jingle \"\"Vamos con Ollanta a Ganar\"\""
"Peru_2011_Keiko_01"	29	2011	"Keiko"	1	"YouTube"	"crime is a problem; There will be justice"
"Peru_2011_Keiko_02"	20	2011	"Keiko"	1	"YouTube"	"People want more opportunities; Various proposals"
"Peru_2011_Keiko_03"	19	2011	"Keiko"	1	"YouTube"	"My government gives opportunity for everyone; Opportunities to work, start a business; More opportunities to live better"
"Peru_2011_Keiko_04"	37	2011	"Keiko"	1	"YouTube"	"We built a stable country, no terrorism, ready to grow; We need a country of opportunities; I offer you a country with security and opportunity"
"Peru_2011_Keiko_05"	21	2011	"Keiko"	1	"YouTube"	"I will protect you and your family; Anti-crime proposals; We'll beat crime"
