Filename	Title	Source
"Trachtenberg_BR_19600330"	"Rumbold Letter to Hood, re: Working Group on Germany and Berlin, March 30, 1960"	"n/a"
"Trachtenberg_BR_19600331-0401"	"Telegram from United Kingdom Permanent Delegation to NATO Paris to Foreign Office, March 31, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600409"	"Report of the Working Group on Germany and Berlin, April 9, 1960"	"n/a"
"Trachtenberg_BR_19600411"	"Supplement to Brief on Germany and Berlin for the Foreign Ministers' Meeting on April 13, April 11, 1960"	"n/a"
"Trachtenberg_BR_19600412--14"	"Meeting of Western Foreign Ministers, Tripartite Consultations, April 12-14, 1960"	"n/a"
"Trachtenberg_BR_19600413"	"Record of a Meeting Held at 1776 Pennsylvania Avenue, April 13, 1960"	"n/a"
"Trachtenberg_BR_19600420"	"Macmillan Letter to Selwyn-Lloyd, April 20, 1960"	"n/a"
"Trachtenberg_BR_19600422"	"Herter Letter to Lloyd, April 22, 1960"	"n/a"
"Trachtenberg_BR_19600501"	"Minutes of Restricted Meeting of Foreign Ministers of the United Kingdom, the United States, France and the Federal Republic of Germany"	"n/a"
"Trachtenberg_BR_19600511"	"Appendix A to JP(60) Note 19, General Norstad's Views on a European Inspection Zone Proposal"	"n/a"
"Trachtenberg_BR_19600512"	"Watkinson Letter to Macmillan (part)"	"Public Record Office, London"
"Trachtenberg_BR_19600518"	"Extract from Macmillan's Conversation with Eisenhower, May 18, 1960"	"n/a"
"Trachtenberg_BR_19600519"	"Macmillan's Conversation with Debré, May 19, 1960"	"n/a"
"Trachtenberg_BR_19600525"	"Telegram from Macmillan to Eisenhower, May 25, 1960"	"n/a"
"Trachtenberg_BR_19600601"	"Minutes from Gates-Watkinson Meeting (part)"	"Public Record Office, London"
"Trachtenberg_BR_19600609"	"Minutes, re: Medium Range Ballistic Missiles for NATO, Ministry of Defence, June 9, 1960"	"n/a"
"Trachtenberg_BR_19600610"	"General de Gaulle's Letter to the President, June 10, 1960"	"n/a"
"Trachtenberg_BR_19600613"	"Minutes from Macmillan-Watkinson Meeting at Birch Grove House (parts)"	"Public Record Office, London"
"Trachtenberg_BR_19600628"	"Report by the joint Planning Staff, NATO Strategy, August 26, 1960"	"n/a"
"Trachtenberg_BR_19600629"	"Brief for discussion with General Norstad, Mid-Range Ballistic Missiles in ACE"	"Public Record Office, London"
"Trachtenberg_BR_19600630"	"The Secretary of State's Letter to Gladwyn"	"n/a"
"Trachtenberg_BR_19600707"	"Telegram from United Kingdom Delegation to N.A.T.O. Paris to Foreign Office, July 7, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600708"	"Numbers and Types of Nuclear Weapons Under SACEUR and Their Control"	"Public Record Office, London"
"Trachtenberg_BR_19600711"	"Record of a Conversation Between the Secretary of State and General Norstad at the Foreign Office, Lloyd, July 11, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600712"	"Record of Conversation: Norstad and Lloyed, July 12, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600721"	"Note from British Department of Defense re: SACEUR's MRBMs, July 21, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600809"	"Confidential Annex to C.O.S. (60) 50th Meeting, August 9, 1960"	"n/a"
"Trachtenberg_BR_19600812"	"Report by the Joint Planning Staff, Berlin Contingency Planning Federal Government Participation, August 12, 1960"	"n/a"
"Trachtenberg_BR_19600823"	"Confidential Annex to C.O.S. (60) 52nd Meeting (part), August 23, 1960"	"n/a"
"Trachtenberg_BR_19600830"	"Note by the Directors of Plans, NATO Strategy, August 5, 1960"	"n/a"
"Trachtenberg_BR_19600831"	"Confidential Annex to C.O.S. (60) 53rd Meeting, August 31, 1960"	"Public Record Office, London"
"Trachtenberg_BR_19600913"	"Confidential Annex to C.O.S. (60) 55th Meeting, September 13, 1960"	"n/a"
"Trachtenberg_BR_19600919"	"Memorandum by the Air Ministry, Berlin Airlift Contingency Planning Operation \"Jack Pine\", September 19, 1960"	"n/a"
