QDRFilename	Provenance	Enterspublicdomainafteryear:
"Leonard_DR_BancoCentral_Statistics_B-I-1_1978-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-1_1990-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-2_1963-1967.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-2_1968-1974.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-2_1975-1977.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-2_1978-1989.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-2_1990-1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-2_1990-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-2_2000-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-3_1988-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-4_1991-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-5_1991-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-6_1955-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-7_1967-1989.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_B-I-9_1990-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-I-1_1948-1985.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-I-1_1986-1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-I-1_1993-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-I-2_1997-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-II-1_1948-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-III-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-III-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-III-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-III-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-III-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-III-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-IV-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-IX-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-V-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-V-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-V-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-V-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-V-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-V-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-V-7.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VI-1_1948-1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VI-2_1993-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VII-1_1998-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VII-2_1948-1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VII-3_1993-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VIII-1_1948-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VIII-2_1948-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VIII-3_1993-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-VIII-4_1993-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-1_1966-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-2_1992-2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_1993.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_1994.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_1995.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_1996.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_1997.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_1998.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_1999.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_2000.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_2001.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_2002.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_C-X-3_2003.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1989.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1990.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1991.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1993.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1994.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1995.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1996.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1997.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-1_1998.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_1991.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_1992.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_1993.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_1994.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_1995.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_D-I-2_1996.xlsx"	"Banco Central"	""
